TSM, 111.74, 111.74, 111.74, 115.81, 108.77, 107.75, 108.33, 110.91, 108.07, 110.27, 103.45, 105.78, 108.99, 111.93, 114.56, 99.97, 97.40, 87.24, 89.46, 76.74, 83.50, 78.65, 64.70, 58.41, 78.75, 70.69, 88.50, 83.10, 88.78, 80.87, 94.58, 96.82, 95.52, 90.14, 83.72, 83.58, 94.23, 100.71, 109.90, 125.19, 132.37, 134.17, 147.55, 169.79, 162.48, 168.26, 170.19, 187.41, 181.63, 194.25, 206.54, 178.13, 163.79, 165.11, 191.49, 224.35, 240.21, 229.52, 277.66, 299.62, 290.73, 304.03, 291.18
BRK-B, 227.87, 227.87, 227.87, 240.51, 255.47, 274.95, 289.44, 277.92, 278.29, 285.77, 272.94, 287.01, 276.69, 299, 313.02, 321.45, 352.91, 322.83, 315.98, 273.02, 300.60, 280.80, 267.02, 295.09, 318.60, 308.90, 311.52, 305.18, 308.77, 328.55, 321.08, 341, 351.96, 360.20, 350.30, 341.33, 360, 356.66, 383.74, 409.40, 420.52, 396.73, 414.40, 406.80, 438.50, 475.92, 460.26, 450.92, 483.02, 453.28, 468.67, 513.83, 532.58, 533.25, 503.96, 485.77, 471.88, 502.98, 502.74, 477.54, 513.81, 495.85, 503.27
LLY, 197.36, 197.36, 197.36, 194.44, 178.03, 174.17, 190.34, 219.69, 233.07, 247.22, 221.86, 244.63, 238.18, 266.10, 236.40, 240.79, 277.03, 282.60, 303.22, 314.71, 320.01, 292.39, 314.88, 352.61, 361.36, 357.25, 336.07, 303.92, 336.44, 387.82, 420.74, 460.65, 446.48, 544.36, 528.72, 545.26, 581.78, 574.85, 636.67, 743.25, 768.54, 771.64, 810.40, 895.94, 795.88, 950.01, 877.93, 822.24, 788.16, 766.28, 805.08, 913.81, 821.21, 893.83, 733.47, 776.68, 737.37, 729.90, 761.88, 861.59, 1073.89, 1009.38, 1054.86
WMT, 43.84, 43.84, 43.84, 40.54, 42.39, 43.84, 44.51, 44.37, 44.85, 46.59, 44.01, 47.18, 44.41, 45.69, 44.32, 42.85, 47.21, 48.69, 40.94, 38.83, 42.18, 42.34, 41.61, 45.66, 48.90, 45.49, 46.33, 45.77, 47.48, 48.81, 47.49, 51.01, 51.88, 52.78, 52.09, 53.23, 50.71, 51.35, 54.02, 57.48, 59.01, 58.41, 64.72, 66.87, 67.78, 76.27, 79.97, 81.16, 91.61, 89.48, 97.43, 97.87, 87.13, 96.79, 98.25, 97.55, 97.75, 96.75, 103.06, 101.18, 110.51, 115.52, 116.21
JPM, 113.01, 113.01, 113.01, 130.19, 134.66, 136.06, 146.14, 138.40, 135.06, 143.15, 146.49, 152.04, 143.00, 142.57, 133.79, 128.43, 123.47, 108.11, 120.65, 102.75, 105.26, 104.69, 96.19, 115.87, 128.33, 124.54, 129.99, 134.12, 121.92, 129.34, 127.97, 137.14, 148.95, 138.93, 137.69, 132.03, 149.28, 162.69, 166.76, 179.05, 192.75, 184.52, 196.13, 195.78, 205.98, 218.80, 205.23, 216.00, 244.54, 234.74, 261.76, 260.50, 241.46, 240.79, 261.46, 287.12, 293.39, 299.96, 313.90, 309.61, 313.08, 317.38, 320.58
V, 186.37, 186.37, 186.37, 204.83, 204.51, 225.59, 219.55, 226.17, 238.33, 221.61, 215.76, 205.12, 187.69, 210.28, 219.46, 209.70, 215.54, 207.14, 206.21, 191.72, 206.54, 193.49, 173.29, 202.08, 211.68, 203.12, 225.07, 215.02, 220.85, 227.97, 216.51, 233.08, 233.33, 241.13, 226.17, 231.18, 252.40, 256.55, 269.27, 278.52, 275.52, 265.19, 268.99, 259.60, 262.77, 273.35, 272.49, 287.26, 312.26, 313.81, 339.39, 360.15, 348.57, 343.64, 363.22, 353.73, 344.18, 350.47, 340.71, 340.07, 333.78, 345.63, 346.83
ORCL, 56.37, 56.37, 56.37, 60.40, 65.70, 70.96, 74.04, 73.20, 81.94, 84.12, 82.24, 90.55, 85.94, 82.60, 76.87, 72.22, 78.65, 69.78, 68.64, 66.68, 74.29, 71.08, 58.54, 74.84, 80.00, 78.76, 85.24, 84.53, 89.87, 91.61, 102.89, 115.66, 113.86, 117.33, 103.23, 100.78, 113.68, 103.13, 109.26, 109.67, 123.35, 111.70, 115.45, 139.10, 137.38, 139.58, 168.34, 165.81, 183.02, 165.00, 168.39, 164.83, 138.77, 139.68, 164.89, 217.79, 252.79, 225.74, 280.75, 262.16, 201.95, 198.85, 183.04
JNJ, 141.53, 141.53, 141.53, 137.48, 143.48, 142.06, 147.76, 144.72, 151.27, 152.09, 142.71, 143.93, 137.79, 152.16, 153.24, 146.38, 158.65, 161.54, 160.71, 159.92, 157.23, 145.35, 148.16, 157.79, 161.44, 161.25, 149.17, 139.90, 142.51, 150.50, 142.56, 153.33, 155.19, 149.77, 145.32, 138.41, 144.31, 147.42, 149.45, 151.78, 149.91, 137.02, 138.99, 139.63, 150.80, 158.45, 155.99, 153.88, 149.21, 140.32, 147.63, 160.12, 162.20, 152.88, 151.81, 150.68, 162.51, 174.77, 184.25, 187.68, 205.61, 210.01, 213.57
MA, 307.46, 307.46, 307.46, 344.41, 346.55, 371.86, 351.37, 355.77, 376.09, 337.79, 339.20, 327.34, 307.63, 351.00, 377.44, 352.93, 349.56, 355.43, 350.53, 309.01, 346.53, 318.20, 278.93, 321.94, 350.19, 341.67, 364.14, 349.67, 357.66, 374.01, 359.80, 387.68, 388.65, 407.33, 390.82, 371.51, 409.10, 421.63, 444.09, 470.07, 476.82, 446.75, 443.27, 437.41, 459.77, 479.94, 490.33, 496.08, 529.90, 523.56, 552.26, 573.86, 545.79, 545.73, 584.04, 560.44, 564.96, 594.51, 568.06, 551.26, 550.53, 563.37, 571.14
XOM, 36.65, 36.65, 36.65, 44.44, 46.41, 47.58, 48.52, 53.20, 48.55, 45.98, 50.35, 55.19, 51.23, 53.09, 65.90, 68.03, 72.45, 74.78, 84.21, 75.89, 85.90, 84.71, 78.12, 99.15, 99.62, 99.49, 104.64, 99.14, 99.67, 107.56, 92.87, 98.33, 98.32, 101.94, 108.68, 97.84, 94.97, 93.26, 95.90, 97.49, 109.43, 111.35, 110.39, 109.26, 112.55, 111.94, 112.15, 111.73, 112.86, 103.76, 103.05, 107.39, 115.75, 102.80, 99.56, 105.88, 109.65, 112.25, 111.77, 113.37, 114.91, 119.54, 117.50
